,Make,Model,Battery_(Kwh),Acceleration_in_Secs_(1-100),Top_Speed_(km/h),Range_(km),Efficiency_(Wh/km),Price_in_Germany (€),Make/Model
91,Volkswagen,ID.3 Pro S - 5 Seats,77.0,7.9,160,450,171,42620.0,Volkswagen ID.3 Pro S - 5 Seats
92,Kia,EV6 Standard Range 2WD,54.0,8.5,185,305,177,44990.0,Kia EV6 Standard Range 2WD
93,MG,MG5 Electric Long Range,57.0,8.3,185,325,175,38490.0,MG MG5 Electric Long Range
94,Audi,Q4 e-tron 50 quattro,76.6,6.2,180,385,199,53600.0,Audi Q4 e-tron 50 quattro
95,Volkswagen,ID.4 Pro,77.0,10.4,160,410,188,,Volkswagen ID.4 Pro
96,Volkswagen,ID.5 GTX,77.0,6.3,180,405,190,53615.0,Volkswagen ID.5 GTX
97,Audi,e-tron 55 quattro,86.5,5.7,200,365,237,81500.0,Audi e-tron 55 quattro
98,Mercedes,EQS AMG 53 4MATIC+,107.8,3.4,250,565,191,152546.0,Mercedes EQS AMG 53 4MATIC+
99,Renault,Megane E-Tech EV60 130hp,60.0,10.5,150,365,164,42700.0,Renault Megane E-Tech EV60 130hp
100,Mercedes,EQV 300 Long,90.0,12.1,160,305,295,71388.0,Mercedes EQV 300 Long
101,Smart,EQ forfour ,16.7,12.7,130,95,176,19120.0,Smart EQ forfour 
102,Renault,Megane E-Tech EV40 130hp,40.0,10.0,150,250,160,35200.0,Renault Megane E-Tech EV40 130hp
103,Audi,e-tron GT quattro,85.0,4.1,245,420,202,99800.0,Audi e-tron GT quattro
104,Hyundai,IONIQ 5 Long Range 2WD,72.5,7.4,185,390,186,,Hyundai IONIQ 5 Long Range 2WD
105,Kia,e-Soul 64 kWh,64.0,7.9,167,370,173,37790.0,Kia e-Soul 64 kWh
106,Mercedes,EQB 300 4MATIC,66.5,8.0,160,330,202,55311.0,Mercedes EQB 300 4MATIC
107,Fiat,500e Cabrio,37.3,9.0,150,230,162,30560.0,Fiat 500e Cabrio
108,Fiat,500e Hatchback 24 kWh,21.3,9.5,135,135,158,23560.0,Fiat 500e Hatchback 24 kWh
109,Volvo,C40 Recharge Pure Electric,67.0,7.4,160,325,206,48850.0,Volvo C40 Recharge Pure Electric
110,Volkswagen,ID.5 Pro,77.0,10.4,160,430,179,46515.0,Volkswagen ID.5 Pro
111,BMW,i3s 120 Ah,37.9,6.9,160,230,165,42600.0,BMW i3s 120 Ah
112,Volkswagen,ID.3 Pure Performance,45.0,8.9,160,275,164,,Volkswagen ID.3 Pure Performance
113,Volkswagen,ID.3 Pro S - 4 Seats,77.0,7.9,160,450,171,42460.0,Volkswagen ID.3 Pro S - 4 Seats
114,Volkswagen,ID.4 Pure,52.0,10.9,160,285,182,36950.0,Volkswagen ID.4 Pure
115,Mercedes,EQS 350,90.6,6.6,210,545,166,97806.0,Mercedes EQS 350
116,Hyundai,IONIQ 5 Long Range AWD,72.5,5.2,185,385,188,,Hyundai IONIQ 5 Long Range AWD
117,Porsche,Taycan 4S,71.0,4.0,250,395,180,106487.0,Porsche Taycan 4S
118,Volkswagen,ID.5 Pro Performance,77.0,8.4,160,430,179,47550.0,Volkswagen ID.5 Pro Performance
119,Nissan,Ariya 63kWh,63.0,7.5,160,335,188,45000.0,Nissan Ariya 63kWh
120,Fiat,500e 3+1,37.3,9.0,150,235,159,29560.0,Fiat 500e 3+1
121,MG,MG5 EV Long Range,57.0,7.7,185,340,168,,MG MG5 EV Long Range
122,Nissan,Ariya e-4ORCE 87kWh,87.0,5.7,200,420,207,60000.0,Nissan Ariya e-4ORCE 87kWh
123,Mercedes,EQE AMG 43 4MATIC,90.6,4.2,210,485,187,103827.0,Mercedes EQE AMG 43 4MATIC
124,Mercedes,EQA 350 4MATIC,66.5,6.0,160,350,190,56216.0,Mercedes EQA 350 4MATIC
125,Peugeot,e-Traveller Standard 50 kWh,45.0,13.1,130,180,250,55900.0,Peugeot e-Traveller Standard 50 kWh
126,Sono,Sion ,47.0,9.0,140,260,181,28500.0,Sono Sion 
127,Porsche,Taycan ,71.0,5.4,230,410,173,85543.0,Porsche Taycan 
128,Skoda,Enyaq Coupe iV 80x,77.0,7.0,160,430,179,49000.0,Skoda Enyaq Coupe iV 80x
129,Audi,Q4 Sportback e-tron 50 quattro,76.6,6.2,180,400,192,55600.0,Audi Q4 Sportback e-tron 50 quattro
130,Honda,e Advance,28.5,8.3,145,170,168,38000.0,Honda e Advance
131,Mercedes,EQA 250+,70.5,9.1,160,375,188,55960.0,Mercedes EQA 250+
132,Kia,e-Niro 39 kWh,39.2,9.8,155,235,167,35290.0,Kia e-Niro 39 kWh
133,Porsche,Taycan Plus,83.7,5.4,230,475,176,91267.0,Porsche Taycan Plus
134,Mercedes,EQA 300 4MATIC,66.5,7.7,160,350,190,53538.0,Mercedes EQA 300 4MATIC
135,Audi,Q4 e-tron 45 quattro,76.6,6.9,180,385,199,50900.0,Audi Q4 e-tron 45 quattro
136,Ford,Mustang Mach-E GT,88.0,4.4,200,410,215,72900.0,Ford Mustang Mach-E GT
137,Lucid,Air Touring,85.0,3.4,250,530,160,100000.0,Lucid Air Touring
138,JAC,iEV7s ,39.0,12.0,132,225,173,,JAC iEV7s 
139,DS,3 Crossback E-Tense,45.0,8.7,150,260,173,39440.0,DS 3 Crossback E-Tense
140,Smart,EQ fortwo coupe,16.7,11.6,130,100,167,18460.0,Smart EQ fortwo coupe
141,SsangYong,Korando e-Motion,56.0,8.5,156,290,193,38990.0,SsangYong Korando e-Motion
142,Volkswagen,ID.4 Pure Performance,52.0,9.0,160,285,182,38450.0,Volkswagen ID.4 Pure Performance
143,Skoda,Enyaq iV RS,77.0,6.2,180,385,200,50000.0,Skoda Enyaq iV RS
144,Porsche,Taycan 4 Cross Turismo,83.7,5.1,220,425,197,95658.0,Porsche Taycan 4 Cross Turismo
145,Genesis,GV60 Premium,72.5,7.3,185,390,186,53000.0,Genesis GV60 Premium
146,Mercedes,EQB 250,66.5,9.2,160,345,193,52342.0,Mercedes EQB 250
147,MG,Marvel R ,65.0,7.9,200,335,194,42990.0,MG Marvel R 
148,CUPRA,Born 110 kW - 45 kWh,45.0,8.9,160,275,164,32700.0,CUPRA Born 110 kW - 45 kWh
149,Citroen,e-Berlingo M 50 kWh,45.0,11.7,135,200,225,36590.0,Citroen e-Berlingo M 50 kWh
150,Nissan,Ariya e-4ORCE 87kWh Performance,87.0,5.1,200,385,226,65000.0,Nissan Ariya e-4ORCE 87kWh Performance
